train/value_loss,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/policy_loss,train/entropy_loss,time/time_elapsed,time/total_timesteps,train/std,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0.005940382834523916,53,0.001,0.0009797215461730957,99,0.26425543427467346,-4.208966255187988,9,500,0.983989417552948,100,,,,
0.00011258591257501394,50,0.001,-0.07456982135772705,199,-0.055209290236234665,-4.2144856452941895,19,1000,0.9853429198265076,200,-77.272727,1000.0,,
0.0026398259215056896,48,0.001,0.06721258163452148,299,0.15682491660118103,-4.197933197021484,30,1500,0.98028165102005,300,-77.272727,1000.0,,
1.9292068827780895e-05,48,0.001,0.3213207721710205,399,0.019930005073547363,-4.18670129776001,41,2000,0.9776232242584229,400,-85.039241,1000.0,,
0.000648224726319313,46,0.001,0.0,499,0.10482021421194077,-4.201580047607422,53,2500,0.9823048114776611,500,-85.039241,1000.0,,
0.001057680114172399,45,0.001,0.0,599,0.11120010912418365,-4.202210903167725,65,3000,0.9818996787071228,600,-87.916456,1000.0,,
1.4248381376091857e-05,44,0.001,0.06178170442581177,699,0.012612889520823956,-4.200483798980713,79,3500,0.9814470410346985,700,-87.916456,1000.0,,
0.00016568598221056163,42,0.001,0.018109500408172607,799,0.06177107244729996,-4.225139141082764,93,4000,0.9900406002998352,800,-89.40359975,1000.0,,
7.80023037805222e-06,42,0.001,2.384185791015625e-07,899,0.011420045979321003,-4.213041305541992,106,4500,0.9857938885688782,900,-89.40359975,1000.0,,
0.0009984273929148912,,0.001,0.0,999,0.12584856152534485,-4.202431678771973,,5000,0.9823662638664246,,,,-93.06345889999999,1000.0
,15,,,,,,316,5000,,1000,-90.1669476,1000.0,,
0.0003599163901526481,16,0.001,0.0,1099,-0.07535411417484283,-4.168517112731934,328,5500,0.9709710478782654,1100,-90.1669476,1000.0,,
0.00016351362864952534,17,0.001,0.0445021390914917,1199,0.04845619201660156,-4.1694135665893555,343,6000,0.9716395735740662,1200,-90.6909625,1000.0,,
0.00023487641010433435,18,0.001,0.017444908618927002,1299,0.06640152633190155,-4.1263532638549805,356,6500,0.9582300186157227,1300,-90.6909625,1000.0,,
0.00028098298935219646,18,0.001,-1.7188897132873535,1399,0.06010901927947998,-4.139816761016846,373,7000,0.9622977375984192,1400,-90.09682314285713,1000.0,,
0.0001710027427179739,19,0.001,-1.1920928955078125e-07,1499,0.05590953677892685,-4.122951030731201,388,7500,0.9570369720458984,1500,-90.09682314285713,1000.0,,
0.00026335346046835184,19,0.001,0.2758258581161499,1599,0.05821390077471733,-4.128462314605713,400,8000,0.9581469893455505,1600,-88.66568112499999,1000.0,,
0.000495762680657208,20,0.001,0.3812193274497986,1699,-0.1077415943145752,-4.1256184577941895,414,8500,0.9561996459960938,1700,-88.66568112499999,1000.0,,
0.0003197197220288217,20,0.001,-0.07426130771636963,1799,0.06536410003900528,-4.1243486404418945,430,9000,0.9566623568534851,1800,-86.71606477777777,1000.0,,
0.0004135514609515667,21,0.001,0.14362859725952148,1899,-0.06441794335842133,-4.131868362426758,445,9500,0.9598250985145569,1900,-86.71606477777777,1000.0,,
5.991548459860496e-05,,0.001,0.7580864578485489,1999,-0.005700287409126759,-4.114595413208008,,10000,0.9542321562767029,,,,-86.25703689999999,1000.0
,15,,,,,,656,10000,,2000,-82.82973439999999,1000.0,,
11.90473461151123,15,0.001,0.03649187088012695,2099,13.217143058776855,-4.13215446472168,668,10500,0.9593958854675293,2100,-82.82973439999999,1000.0,,
0.00041725701885297894,16,0.001,0.30681926012039185,2199,-0.03805872052907944,-4.1432037353515625,680,11000,0.9636812210083008,2200,-74.87310936363636,1000.0,,
0.0007735194521956146,16,0.001,-11.752463340759277,2299,0.10721282660961151,-4.132472515106201,694,11500,0.9598698616027832,2300,-74.87310936363636,1000.0,,
0.00015786490985192358,16,0.001,0.09024715423583984,2399,0.04334172606468201,-4.138847351074219,705,12000,0.9613024592399597,2400,-74.94272541666666,1000.0,,
0.0008847269928082824,17,0.001,-0.3372769355773926,2499,-0.14151139557361603,-4.1498308181762695,717,12500,0.9643359780311584,2500,-74.94272541666666,1000.0,,
0.00016199042147491127,17,0.001,0.8024596273899078,2599,-0.04072621092200279,-4.173564910888672,729,13000,0.9731928706169128,2600,-75.41425076923076,1000.0,,
0.00024686133838258684,18,0.001,-0.4674023389816284,2699,0.05941222980618477,-4.173612117767334,741,13500,0.9727012515068054,2700,-75.41425076923076,1000.0,,
0.00024371917243115604,18,0.001,-2.2325549125671387,2799,-0.05394702032208443,-4.168850898742676,756,14000,0.971135675907135,2800,-75.378261,1000.0,,
0.007688239216804504,18,0.001,-1.58150053024292,2899,-0.359025776386261,-4.164921760559082,770,14500,0.9698157906532288,2900,-75.378261,1000.0,,
0.005196521058678627,,0.001,-0.07352089881896973,2999,0.2577611804008484,-4.199306011199951,,15000,0.9809331297874451,,,,-86.69016620000001,1000.0
,15,,,,,,982,15000,,3000,-73.7302366,1000.0,,
0.000886294525116682,15,0.001,0.29233402013778687,3099,0.12778180837631226,-4.199380397796631,993,15500,0.9816482067108154,3100,-73.7302366,1000.0,,
0.0002813005412463099,15,0.001,-35.30268859863281,3199,0.055193282663822174,-4.214646339416504,1006,16000,0.9859849810600281,3200,-73.9676024375,1000.0,,
0.0002090188645524904,16,0.001,-1.1920928955078125e-07,3299,-0.05320916324853897,-4.221766948699951,1018,16500,0.9886215329170227,3300,-73.9676024375,1000.0,,
0.0010734014213085175,16,0.001,0.03337359428405762,3399,-0.13236746191978455,-4.211665630340576,1032,17000,0.9850059151649475,3400,-74.69859982352942,1000.0,,
0.0004864056536462158,16,0.001,0.09241026639938354,3499,-0.08630889654159546,-4.1763739585876465,1045,17500,0.9733529686927795,3500,-74.69859982352942,1000.0,,
0.0004819856840185821,16,0.001,0.13510018587112427,3599,0.08763375133275986,-4.1771559715271,1062,18000,0.9740937352180481,3600,-74.95875777777778,1000.0,,
4.140213786740787e-05,17,0.001,0.0,3699,-0.024615246802568436,-4.178369522094727,1076,18500,0.9746251106262207,3700,-74.95875777777778,1000.0,,
8.631739910924807e-05,17,0.001,0.0,3799,0.0304582379758358,-4.164224624633789,1088,19000,0.9693134427070618,3800,-75.93272063157895,1000.0,,
0.0002886532456614077,17,0.001,0.0,3899,-0.06367260217666626,-4.147185325622559,1100,19500,0.9643163084983826,3900,-75.93272063157895,1000.0,,
0.000647961103823036,,0.001,1.1920928955078125e-07,3999,-0.10083134472370148,-4.145246505737305,,20000,0.9635837078094482,,,,-93.02625679999998,1000.0
,15,,,,,,1316,20000,,4000,-76.80495875,1000.0,,
